Activity ID;Activity Name;Activity Type;Assignee;Called Process Instance ID;Called Case Instance ID;Canceled;Complete Scope;Duration In Millis;End Time;Execution ID;ID;Parent Activity Instance ID;Process Definition ID;Process Instance ID;Start Time;Task ID;Tenant ID;Removal Time;Root Process Instance ID
Activity_139715r;invade Gaul;serviceTask;;;;False;False;;;28f7db85-1142-11ee-9d4e-38fc98f283c6;Activity_139715r:28f7db86-1142-11ee-9d4e-38fc98f283c6;28f395bb-1142-11ee-9d4e-38fc98f283c6;Romeinvaddes:1:270f1e4a-1142-11ee-9d4e-38fc98f283c6;28f395bb-1142-11ee-9d4e-38fc98f283c6;2023-06-22T23:17:14.791+0200;;;;28f395bb-1142-11ee-9d4e-38fc98f283c6
Activity_16et3ux;Decide On Direction of Expansion;serviceTask;;;;False;False;28;2023-06-22T23:17:14.791+0200;28f395bd-1142-11ee-9d4e-38fc98f283c6;Activity_16et3ux:28f395be-1142-11ee-9d4e-38fc98f283c6;28f395bb-1142-11ee-9d4e-38fc98f283c6;Romeinvaddes:1:270f1e4a-1142-11ee-9d4e-38fc98f283c6;28f395bb-1142-11ee-9d4e-38fc98f283c6;2023-06-22T23:17:14.763+0200;;;;28f395bb-1142-11ee-9d4e-38fc98f283c6
Gateway_17kp28d;;exclusiveGateway;;;;False;False;0;2023-06-22T23:17:14.791+0200;28f395bb-1142-11ee-9d4e-38fc98f283c6;Gateway_17kp28d:28f7db84-1142-11ee-9d4e-38fc98f283c6;28f395bb-1142-11ee-9d4e-38fc98f283c6;Romeinvaddes:1:270f1e4a-1142-11ee-9d4e-38fc98f283c6;28f395bb-1142-11ee-9d4e-38fc98f283c6;2023-06-22T23:17:14.791+0200;;;;28f395bb-1142-11ee-9d4e-38fc98f283c6
StartEvent_1;Roman Empire needs to expand;startEvent;;;;False;False;0;2023-06-22T23:17:14.763+0200;28f395bb-1142-11ee-9d4e-38fc98f283c6;StartEvent_1:28f395bc-1142-11ee-9d4e-38fc98f283c6;28f395bb-1142-11ee-9d4e-38fc98f283c6;Romeinvaddes:1:270f1e4a-1142-11ee-9d4e-38fc98f283c6;28f395bb-1142-11ee-9d4e-38fc98f283c6;2023-06-22T23:17:14.763+0200;;;;28f395bb-1142-11ee-9d4e-38fc98f283c6
